a52dec 0.7.4-9
aalib 1.4rc5-12
acl 2.2.52-2
adwaita-icon-theme 3.22.0-1
alsa-firmware 1.0.29-1
alsa-lib 1.1.2-1
alsa-plugins 1.1.1-1
alsa-utils 1.1.2-1
apache 2.4.23-1
apm 1.14.1-1
apr 1.5.2-1
apr-util 1.5.4-2
archlinux-keyring 20161021-1
aspell 0.60.6.1-5
at-spi2-atk 2.22.0-1
at-spi2-core 2.22.0-1
atk 2.22+1+gd57f97d-1
atom 1.12.7-1
attr 2.4.47-1
autoconf 2.69-4
autoconf-archive 1:2016.09.16-1
automake 1.15-2
avahi 0.6.32-2
babl 0.1.18-1
bash 4.3.046-1
bc 1.06.95-2
bind-tools 9.11.0-2
binutils 2.27-1
bison 3.0.4-2
boost-libs 1.61.0-2
brasero 3.12.1-2
bzip2 1.0.6-5
c-ares 1.12.0-1
ca-certificates 20160507-1
ca-certificates-cacert 20140824-3
ca-certificates-mozilla 3.27.1-1
ca-certificates-utils 20160507-1
cabal-install 1.24.0.0-3
cabextract 1.6-1
cairo-infinality-ultimate 1.14.6-2
cairo-perl 1.106-2
calcurse 4.2.2-1
cantarell-fonts 1:0.0.25-2
cdparanoia 10.2-5
cdrdao 1.2.3-9
cdrkit 1.1.11-3
chromium 54.0.2840.100-1
cifs-utils 6.5-1
clipit 1.4.2-6
clonezilla 3.21.13-1
clucene 2.3.3.4-9
cmake 3.6.2-2
colord 1.3.3-1
compositeproto 0.4.2-3
confuse 2.8-2
coreutils 8.25-2
cracklib 2.9.6-1
cronie 1.5.1-1
crypto++ 5.6.5-2
cryptsetup 1.7.2-1
cups 2.2.1-1
cups-filters 1.11.4-1
curl 7.50.3-1
cvs 1.11.23-11
damageproto 1.2.1-3
db 5.3.28-3
dbus 1.10.12-1
dbus-glib 0.106-1
dcadec 0.2.0-1
dconf 0.26.0-2
deluge 1.3.13+11+g48cedf635-1
desktop-file-utils 0.23-1
device-mapper 2.02.166-1
dhcpcd 6.11.3-1
dialog 1:1.3_20160828-1
diffmerge 4.2.0.697-1
diffutils 3.5-1
ding-libs 0.6.0-1
